data,regione,zona,servizio_al_tavolo,asporto,consegna_a_domicilio,note,riferimento_normativo
3/12/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/13/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/13/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/14/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/14/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/15/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/15/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/16/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/16/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/17/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/17/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/18/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/18/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/19/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/19/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/20/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/20/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/21/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/21/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/22/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/22/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/23/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/23/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/24/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/24/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/25/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/25/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/26/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/26/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/27/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/27/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/28/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/28/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/29/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/29/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/30/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/30/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/31/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
3/31/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/1/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/1/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/2/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/2/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/3/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/3/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/4/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/4/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/5/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/5/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/6/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/6/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/7/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/7/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/8/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/8/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/9/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/9/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/10/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/10/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/11/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/11/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/12/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/12/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/13/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/13/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/14/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/14/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/15/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/15/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/16/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/16/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/17/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/17/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/18/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/18/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/19/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/19/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/20/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/20/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/21/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/21/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/22/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/22/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/23/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/23/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/24/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/24/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/25/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/25/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/26/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/26/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/27/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/27/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/28/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/28/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/29/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/29/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/30/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
4/30/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
5/1/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
5/1/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
5/2/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
5/2/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
5/3/2020,Emilia-Romagna,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
5/3/2020,Lombardia,lockdown nazionale,vietato,vietato,consentito,Chiusura al pubblico. Solo consegna a domicilio,DPCM 11/3/2020
5/4/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/4/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/5/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/5/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/6/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/6/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/7/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/7/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/8/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/8/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/9/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/9/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/10/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/10/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/11/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/11/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/12/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/12/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/13/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/13/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/14/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/14/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/15/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/15/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/16/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/16/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/17/2020,Emilia-Romagna,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/17/2020,Lombardia,Fase 2 (no colori),vietato,consentito,consentito,Asporto consentito; nessun consumo sul posto,DPCM 26/4/2020
5/18/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/18/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/19/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/19/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/20/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/20/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/21/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/21/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/22/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/22/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/23/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/23/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/24/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/24/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/25/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/25/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/26/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/26/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/27/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/27/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/28/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/28/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/29/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/29/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/30/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/30/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/31/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
5/31/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
6/1/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
6/1/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
6/2/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
6/2/2020,Lombardia,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
6/3/2020,Emilia-Romagna,riapertura nazionale,consentito,consentito,consentito,Riapertura con protocolli e distanziamento,DPCM 17/5/2020 + linee guida Regioni
